SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	etiket
102-021-1	02 PİN	                	DELPHI TİPİ SOKET (2 PİN)		2000AB 2K000AB 2S063 2K000AB
102-021-2	02 PİN	                	DELPHI TİPİ SOKET (2 PİN)		2000AC
102-022K	02 PİN	RENAULT FIAT  OPEL             	51-1050 SUPER SEAL SOKET *** KARSILIGI ( 2 PIN )		2024E 2K024E 5697 2024E 2K024E
102-023	02 PİN	 FIAT  OPEL             	51-1063 TEK NOKTA ENJEKTOR SOKETI PALİO / SLX / CORSA ( 2 PIN )		2023 2K023 5801D 2S056 2023 2K023
102-024	02 PİN	   OPEL             	51-1064 OPEL SENSOR MUSUR SOKETI ( 2 PIN )		2023B 2K023B 5801 2S059 2023B 2K023B
102-025	02 PİN	 FIAT  OPEL             	51-1274 OPEL & FIAT KLIMA KOMPRESOR SOKETI ( 2 PIN )		2000A 2K000A 5801B 2S064 2000A 2K000A
102-026	02 PİN	   OPEL             	51-1278 OPEL ASTRA HAVA SICAKLIK SENSOR SOKET ( 2 PIN )		2023A 2K023A 2S060 2023A 2K023A
102-027-G	02 PİN	RENAULT                	51-1024 RENAULT  FAN & HARARET MUSURU - FAN MOTORU -SIS DUY SOKETI **GRİ ***ÇERÇEVESİZ ***(2 PIN)		2011
102-027-K	02 PİN	RENAULT                	51-1024-1 RENAULT  FAN & HARARET MUSURU - FAN MOTORU -SIS DUY SOKETI ***KAHVE ***ÇERÇEVESİZ ***1,5 MM KABLO ( 2 PIN )		2K011A
102-027-S	02 PİN	RENAULT                	51-1024 FAN MUSURU-SIS DUY SOKETI SIYAH ( 2 PIN )		2011A 2K011A 5097 2S167 2K011
102-027-Y	02 PİN	RENAULT                	51-1024-2 RENAULT  FAN & HARARET MUSURU - FAN MOTORU -SIS DUY SOKETI **YEŞİL ***ÇERÇEVESİZ  ***1 MM KABLO ( 2 PIN )		2K011A
102-027-S.Ç	02 PİN	RENAULT                	RENAULT GERİ VİTES & FAN MÜŞÜRÜ & SİS DUY SOKETİ *****SİYAH ****ÇERÇEVELİ (2 PİN)		2011 2S165 2011
102-027-Y.Ç	02 PİN	RENAULT                	RENAULT GERİ VİTES & FAN MÜŞÜRÜ & SİS DUY SOKETİ *****YEŞİL ****ÇERÇEVELİ (2 PİN)		2010 2K010 2S166 2010 2K010
102-028	02 PİN	RENAULT FIAT  OPEL             	51-1068-1 FIAT/OPEL/RENAULT  KLİMA FAN MOTOR SOKETI ( 2 PIN )		2K016 5513A 2S027 2016
102-028-1	02 PİN	                	SOKET (2 PIN)		2016 2K016
102-028-2	02 PİN	                	SOKET (2 PIN)		2016B
102-028-3	02 PİN	                	SOKET (2 PIN)		2017A
102-029	02 PİN	RENAULT  PEUGEOT             PMC 	51-1069-1  PEUGEOT/RENAULT DIREKSIYON POMPA+FAN MOTOR SOKETI ( 2 PIN )		2031 2K031ÇİN 2S023 2031 2K031
102-030	02 PİN	 FIAT PEUGEOT              	51-1071 FİAT / PEUGEOT FAN MOTOR SOKETI GATE TIPI ( 2 PIN )		2017 2K017 5784 2S034 2017 2K017
102-031	02 PİN	 FIAT  OPEL             	51-1492 FAN MOTOR SOKETI ( 2 PIN ) FIAT LİNEA 500C  ***SİYAH		2017S 5784A
102-031M	02 PİN	 FIAT               	FAN MOTOR SOKETİ (2PİN) FIAT LINEA 500C ***MAVİ		2017M 5784B
102-032	02 PİN	    VOLKSWAGEN   FORD         	51-1269 FORD / VOLKSWAGEN FAN MOTOR SOKETI ( 2 PIN )		2048 2K048 2142 2S040 2048 2K048
102-033	02 PİN	 FIAT  OPEL             	51-1134 FIAT / OPEL FAN MÜŞÜR SOKETİ & FIAT FAN MOTOR SOKETI ( 2 PIN )		2000 2K000 5089 2S035 2000 2K000
102-034	02 PİN	 FIAT  OPEL             	51-1134-1 FİAT DİSTRİBÜTÖR / OPEL FAN MUSURU SOKETI KARSILIGI ( 2 PIN )		2000E 2K000E 5089B 2S036 2000E 2K000E
102-035	02 PİN	       FORD         	51-1155 FORD FIESTA  FAN REZİSTANS SOKETI ( 2 PIN )		2047 2K047 4074 2S029 2047 2K047
102-035-1	02 PİN	         TOYOTA HYUNDAI      	51-1155-1 JAPON FAN MOTOR SOKETI ( 2 PIN )		2076 2K076 2S030 2076
102-036	02 PİN	       FORD         	51-1231 FORD FAN REZISTANS SOKETI ( 2 PIN )		2050 2K050 2050 2S033 2050 2K050
102-037	02 PİN	          HYUNDAI      	51-1317  JAPON PARK SİNYAL -FAN MOTOR-MUSUR SOKETI ( 2 PIN )		2006 2K006 2006 2S123 2006 2K006
102-038	02 PİN	                	51-1317-1 FAN MOTOR-MUSUR-SİNYAL SOKETI KARSILIGI ( 2 PIN )		2006E 2K007 2007 2K006E
102-039	02 PİN	 FIAT      FORD         	51-1503 FORD FIAT FAN MOTOR SOKETI ( 2 PIN ) OVAL		2051A 2K051A 2057 2S019 2051A
102-040	02 PİN	 FIAT  OPEL    FORD         	51-1607 FAN MOTOR SOKETI ( 2 PIN ) FORD/FIAT/OPEL		2051C 2K051C 2040 2S022
102-041	02 PİN	RENAULT  PEUGEOT             PMC 	51-1435 DACIA/PEUGEOT/RENAULT DIREKSIYON POMPA SOKET ( 2 PIN ) YM ***KİLİTSİZ		
102-041-1	02 PİN	               PMC 	51-1435-1 DIREKSIYON POMPA SOKET ( 2 PIN ) YM ***KILITLI		2059 2K059 5153 2S025 2059 2K059
102-042	02 PİN	             VOLVO  PMC 	51-1070 VOLVO DİREKSİYON POMPA SOKETİ (2 PİN)		2051B 2K051B 2051 2S021
102-042-1	02 PİN	             VOLVO  PMC 	51-1070 VOLVO DIREKSIYON POMPA SOKETI ( 2 PIN )		2051D
102-043K	02 PİN	       FORD        PMC 	51-1324 FORD DIREKSIYON POMPA SOKETI ***KABLOLU GRI ( 2 PIN )		2051 2K051 2051 2S020 2051 2K051
102-044	02 PİN	 FIAT  OPEL  BMW           	51-1144  FİAT & BMW ABS SENSÖR SOKETİ (2 PİN)		2035 2K035 2035 2K035
102-044-1	02 PİN	 FIAT    BMW           	51-1087 FIAT & BMW ABS SENSOR SOKETI ( 2 PIN )		9780 2S133
102-044-2	02 PİN	 FIAT    BMW           	FİAT & BMW ABS SENSÖR SOKETİ (2 PİN)		2035A
102-044-3	02 PİN	 FIAT    BMW           	FİAT & BMW ABS SENSÖR SOKETİ (2 PİN)		2035B
102-044-5	02 PİN	 FIAT    BMW           	FİAT & BMW ABS SENSOR SOKETI ***KARŞILIĞI ( 2 PIN )		2035E
102-045	02 PİN	    VOLKSWAGEN            	51-1146 SENSOR SOKETI ORTA TIRNAK ( 2 PIN )		2039A 2K039 2S129 2039 2K039A
102-045-1	02 PİN	    VOLKSWAGEN            	51-1147 VOLKSWAGEN PARK  SENSOR VE KALEM BOBİN SOKETI YAN TIRNAK ( 2 PIN )		2039 2K039 6085A 2039 2K039
102-045-1-Ç	02 PİN	    VOLKSWAGEN            	51-1441-1 VW & M.BENZ YM SENSÖR SOKETİ *** SİYAH ÇERÇEVELİ (2 PİN)		2095A
102-045-2	02 PİN	    VOLKSWAGEN            	SENSÖR SOKETİ BAŞ TIRNAK (2 PİN)		2039B 2K039
102-045-3	02 PİN	    VOLKSWAGEN            	SENSÖR SOKETİ YAN TIRNAK TERS KİLİT (2 PİN)		2039D 2K039
102-045-4	02 PİN	    VOLKSWAGEN            	SENSÖR SOKETİ ORTA TIRNAK TERS KİLİT (2 PİN)		2039C 2K039
102-045-5	02 PİN	    VOLKSWAGEN            	51-1147 VOLKSWAGEN PARK  SENSOR VE KALEM BOBİN SOKETI ( 2 PIN )		2039F
102-045-6	02 PİN	    VOLKSWAGEN            	51-1147 VOLKSWAGEN PARK  SENSOR VE KALEM BOBİN SOKETI ***SARI ( 2 PIN )		2039Y
102-045-7	02 PİN	    VOLKSWAGEN            	51-1147 VOLKSWAGEN PARK  SENSOR VE KALEM BOBİN SOKETI ***MAVİ ( 2 PIN )		2039M
102-045-8	02 PİN	    VOLKSWAGEN            	51-1147 VOLKSWAGEN PARK  SENSOR VE KALEM BOBİN SOKETI ***GRİ ( 2 PIN )		2039G
102-045-9	02 PİN	    VOLKSWAGEN            	51-1147 VOLKSWAGEN PARK  SENSOR VE KALEM BOBİN SOKETI *** ( 2 PIN )		2039S
102-045-Ç	02 PİN	    VOLKSWAGEN            	51-1441-1 VW & M.BENZ YM SENSÖR SOKETİ *** GRİ ÇERÇEVELİ (2 PİN)		2095
102-046	02 PİN	                	51-1073 ÜNİVERSAL  H7 AMPUL SOKETI ( 2 PIN )		H7 HBH7 6050 HBH7 HB07
102-047	02 PİN	                	51-1074 ÜNİVERSAL  H11-H27 SIS AMPUL SOKETI ( 2 PIN )		H11 HBH11 5760A 2S183 HBH11 HB11
102-048	02 PİN	                	51-1079 ÜNİVERSAL  H11 - H16 SIS AMPUL SOKETI ( 2 PIN ) ÇERÇEVELİ		H11YM HBH11YM 5760B 2S181 HBH11YM HB11Y
102-048-1	02 PİN	    VOLKSWAGEN            	ÜNİVERSAL  H11 -  H16 SIS AMPUL SOKETI VOLKSWAGEN ***ÇERÇEVELİ ( 2 PIN )		2113
102-049	02 PİN	                	51-1076 SIS FAR SOKETI 9006 ( 2 PIN )		HB9006 2S182 HB9006
102-049-1	02 PİN	                	SİS FAR SOKETİ 9005-9006 (GENİŞ YARIKLI) (2 PİN)		HB90056 HB9006 HB16
102-050	02 PİN	                	51-1078 SIS AMPUL SOKETI H10 - 9005 ( 2 PIN )		HB9005 HB9005 9693 2S180 HB9005 HB15
102-051	02 PİN	   OPEL             	51-1077 OPEL  SIS SOKETI ( 2 PIN )		2015 2K015 5889 2S058 2015 2K015
102-052	02 PİN	                	51-1076-1 ÜNİVERSAL  H27 AMPUL SOKETI ( 2 PIN )		HBH27 9411 2S179 HBH27 HB17
102-052-1	02 PİN	                	51-1076-1 ÜNİVERSAL  H27 AMPUL SOKETI ( 2 PIN )		2105
102-053	02 PİN	                	51-1576 PSY24W GUNDUZ FARI SOKETI ( 2 PIN )		2085A 2K085A 5317 2K072
102-054	02 PİN	                	51-1239 SOKET ( 2 PIN )		
102-055	02 PİN	    VOLKSWAGEN            	51-1096 VW BALATA FİŞİ & ABS SENSÖR & ISI MÜŞÜR SOKETİ D TİPİ INCE ( 2 PIN )	YENİ	2007A 2K007A 5681A 2S001 2007A 2K007A
102-055-1	02 PİN	    VOLKSWAGEN            	51-1096 VW BALATA FİŞİ & ABS SENSÖR & ISI MÜŞÜR SOKETİ D TİPİ INCE ***ALT TIRNAK ( 2 PIN )		2007AB 2007BA 2K007AB
102-055-2	02 PİN	                	51-1458 VOLSKWAGEN ABS SOKETI ***KAHVERENGİ ( 2 PIN )		2007AC
102-056	02 PİN	    VOLKSWAGEN            	51-1096-1 D VOLKSWAGEN KLİMA VE FREN SOKET (ERKEK) KARSILIGI INCE ( 2 PIN )		2007AE 2K007AE 5681B 2S002 2007AE 2K007AE
102-057	02 PİN	    VOLKSWAGEN            	51-1098 VOLKSWAGEN SU FISKIYE - SIS YAN LAMBA SOKETI ( 2 PIN )		2007B 2K007B 5545 2S005 2007B 2K007B
102-058	02 PİN	                	51-1425 SU FISKIYE - SIS YAN LAMBA SOKETI KARSILIGI ( 2 PIN )		2007BE 5545B 2K007BE
102-059	02 PİN	                	51-1458 VOLSKWAGEN ABS SOKETI ( 2 PIN )		2007BA 2K007BA 2S001A 2K007BA
102-060	02 PİN	      MERCEDES          	51-1380 MERCEDES  SOKET ( 2 PIN )		2007X 2K007BA 2S013 2007X 2K007X
102-061	02 PİN	RENAULT FIAT PEUGEOT  VOLKSWAGEN  MERCEDES FORD        PMC KONJEKTOR	51-1097-1 VW / FORD / PEUGEOT ENJEKTOR - KONJEKTOR - KORNA  - SENSÖR SOKETI ( 2 PIN )		2007 2K007 5539A 2S011 2007 2K007
102-061-1	02 PİN	  PEUGEOT  VOLKSWAGEN   FORD         KONJEKTOR	VW / FORD / PEUGEOT ENJEKTOR - KONJEKTOR - KORNA  - SENSÖR SOKETI KARŞILIĞI ( 2 PIN )		2007AE 2K007AE 2007AE 2K007E
102-061-2	02 PİN	    VOLKSWAGEN  MERCEDES         PMC 	51-1381 MERCEDES- SPRINTER ENJEKTÖR SOKETİ ( 2 PIN )		2007Y 2K007Y 5539C 2S012 2007Y 2K007Y
102-061-3	02 PİN	      MERCEDES          	SENSÖR SOKETİ MERCEDES-BENZ (2 PIN)		2007S
102-061-4	02 PİN	RENAULT               PMC 	ENJEKTÖR SOKETİ RENAULT MASTER III (2 PIN)		
102-062	02 PİN	    VOLKSWAGEN            	51-1388 VOLKSWAGEN YEDEK SU BİDON  DEPO SOKETI ( 2 PIN )		2060 2K060 5041 2S007 2060 2K060
102-063	02 PİN	    VOLKSWAGEN            	51-1514 SEAT RADYATÖR YEDEK SU DEPO SOKETI ( 2 PIN )		2060A 5046 2S008
102-064	02 PİN	    VOLKSWAGEN           PMC 	51-1223 VOLKSWAGEN DIREKSIYON POMPA PASSAT - EL FREN KALIPER - FAN MOTORU SOKETI ( 2 PIN )		2007C 2K007C 5546 2S015 2007C 2K007C
102-064-1	02 PİN	    VOLKSWAGEN            	VOLKSWAGEN SOKETİ ( 2 PIN)		2007CA
102-065	02 PİN	RENAULT                	51-1387 RENAULT MGN II SCENİC EL FREN KALİPER MOTORU SOKETI ( 2 PIN )		2057 2K057 5521 2S028 2057 2K057
102-066K	02 PİN	    VOLKSWAGEN           PMC 	51-1287K VOLKSWAGEN  DIREKSIYON POMPA SOKETI KABLOLU ( 2 PIN )		2052 2K052 5785B 2S018 2052 2K052
102-067	02 PİN	    VOLKSWAGEN           PMC 	51-1433K VOLKSWAGEN DIREKSIYON POMPA SOKETI ***KABLOSUZ ( 2 PIN )		
102-067K	02 PİN	    VOLKSWAGEN           PMC 	51-1433 VOLKSWAGEN DIREKSIYON POMPA SOKETI KABLOLU ( 2 PIN )		2054 2K054 5785A 2S017 2054 2K054
102-067-1	02 PİN	    VOLKSWAGEN           PMC 	51-1433 VOLKSWAGEN - AUDI - SEAT - SKODA DIREKSIYON POMPA SOKETI KABLOLU ( 2 PIN )		2051F
102-068	02 PİN	    VOLKSWAGEN            	51-1468 VOLKSWAGEN ABS SENSOR SOKETI ***YAN KİLİT ( 2 PIN )		2007AA 2K007AA 5681C 2S003 2007AA 2K007AA
102-069	02 PİN	    VOLKSWAGEN            	51-1249 VOLKSWAGEN SOKET TERS KİLİT  ( 2 PIN )		2007D 2K007D 2S010 2007D 2K007D
102-070	02 PİN	    VOLKSWAGEN            	51-1315 VOLKSWAGEN ABS SENSOR SOKETI GOLF IV BORA POLO A3 ( 2 PIN )		2056 2K056 2S009 2056 2K056
102-071	02 PİN	                	51-1362 SOKET ( 2 PIN )		2042A
102-072	02 PİN	                	51-1423 JAPON İŞ MAKİNASI MUSUR  EKSANTRIK DEVIR SENSOR SOKETI ( 2 PIN )		2045A 2K045A 5233 2S108 2045A 2K045A
102-072-1	02 PİN	                	51-1423 JAPON İŞ MAKİNASI MUSUR  EKSANTRIK DEVIR SENSOR SOKETI ( 2 PIN )		2006A
102-073	02 PİN	                	51-1153 JAPON TIPI SOKET ( 2 PIN )		2045 2K045 5233A 2S109 2045 2K045
102-074	02 PİN	       FORD         	51-1111 FORD FAN MUSUR SOKETI ( 2 PIN )		2008A
102-074-1	02 PİN	       FORD         	51-1111-1 FORD FAN MUSUR SOKETI ( 2 PIN )		2008 2K008 2032 2S082 2008 2K008
102-075	02 PİN	          HYUNDAI MITSUBISHI     KONJEKTOR	51-1139 JAPON KONJEKTOR SOKETI BUYUK ( 2 PIN )		2027 2K027 5821 2S031
102-075-1	02 PİN	          HYUNDAI MITSUBISHI     KONJEKTOR	51-1139-1 JAPON KONJEKTOR SOKETI ***KUCUK BOY ( 2 PIN )		5820
102-075-2	02 PİN	          HYUNDAI MITSUBISHI     KONJEKTOR	51-1322 JAPON ŞARJ DİNAMO ÇEVİRİCİ- KONJEKTOR SOKETI ( 2 PIN )		2027 2K027
102-076	02 PİN	       FORD         	51-1112 FORD KORNA-ABS SENSOR SOKETI ( 2 PIN )		2018 2K018 5541 2S069 2018 2K018
102-077	02 PİN	   OPEL             	51-1356 OPEL BOBİN - KORNA SOKETI ( 2 PIN )		2K018C 2477 2S071 2018C 2K018C
102-078	02 PİN	         TOYOTA       	51-1428 TOYOTA COROLLA - HONDA ENJEKTÖR SOKETİ ( 2 PIN )		2071 2K071 5887A 2S054 2071 2K071
102-078-1	02 PİN	         TOYOTA       	51-1428 TOYOTA COROLLA - HONDA ENJEKTÖR SOKETİ KARŞILIĞI ( 2 PIN )		5887B
102-079	02 PİN	                	51-1415 KORNA SOKETI ( 2 PIN )		2018D 2K018D 2S070 2018D 2K018D
102-080	02 PİN	                	51-1509 SOKET ( 2 PIN )		2K018H
102-080-1	02 PİN	          HYUNDAI      	51-1590 HYUNDAİ & KİA BOBİN SOKETI İ30 - İX35 TOCSON SPORTAGE ( 2 PIN )		2075 2K075 2s115 2075
