SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
23-1216	PEUGEOT-CITROEN	***YEŞİL	HARARET MUSURU PEUGEOT P106-P205-P306-P405  ***2 FİŞLİ YESIL		1920.C4 - 95640493 -	102-015-1			
23-1220	PEUGEOT-CITROEN	***MAVİ	HARARET MUSURU PEUGEOT P306-P309-P406-BOXER-EXPERT-PARTNER & CITROEN BERLINGO  *** 1 FİŞLİ MAVI		1338.09 - 96018426 -	102-015K			
23-1224	PEUGEOT-CITROEN	***KAHVERENGİ	HARARET MUSURU PEUGEOT P106-P306-PARTNER & CITROEN BERLINGO-XSARA-XM-XANTIA   ***2 FİŞLİ KAHVERENGI		1338.66	102-015-1			
23-1300	OPEL	***SİYAH	HARARET MUSURU OPEL ASTRA G/H-CORSA C-OMEGA B-VECTRA B/C  ***2 FİŞLİ SIYAH		7.3264 - 1342570 - 1342571 - 6338046	102-001			
23-1301	OPEL	***SİYAH	HARARET MUSURU OPEL ASTRA G-COMBO C-CORSA C-VECTRA C-MERIVA A ( 2 PIN SIYAH )		6238236 - 1236302 - 1338450	102-024			
23-1302	OPEL		HARARET MUSURU OPEL ASTRA F-CORSA B-VECTRA A/B-OMEGA A/B ( 120°C )		1338448 - 1342561 - 90510850				
23-1304	OPEL	***BEYAZ+MAVİ	HARARET MUSURU OPEL ASTRA G/H-CORSA C-VECTRA B ( 2 PIN BEYAZ-MAVI )		1338461 - 1338467 - 90570382	102-001			
23-1304-1	OPEL	***MAVİ	HARARET MUSURU OPEL ASTRA G/H-CORSA B/C/D-INSIGNIA A-OMEGA B-VECTRA B/C ( 2 PIN MAVI )		1338179 - 1338357 - 1338418	102-001			
23-1304-2	OPEL	***SİYAH (İNCE)	HARARET MÜŞÜRÜ OPEL ASTRA G/H/J-CORSA B/C/D-İNSİGNİA A-OMEGA B-VECTRA B/C (SİYAH)		6238266	102-001			
23-1305	CHEVROLET-DAEWOO		HARARET MUSURU CHEVROLET CAPTIVA- DAEWOO MATIZ		7.3014 - 4803631 - 95025043 - 96177604				
23-1306	OPEL	***MAVİ	HARARET MUSURU OPEL ASTRA F/G-CORSA B/C-VECTRA B-KADETT E ( 2 PIN MAVI )		1338458 - 1338451 - 1338444	102-015K			
23-1306-1	OPEL	***MAVİ (İNCE)	HARARET MÜŞÜRÜ OPEL ASTRA F/G-CORSA B/C-VECTRA B-KADETT E (2 PİN MAVİ)		0280130026 1338458 - 1338451 - 1338444	102-015K			
23-1308	OPEL	***MAVİ	HARARET MUSURU OPEL ASTRA F-VECTRA A/B-OMEGA B ( 2 PIN MAVI )		1342850 - 4416020 - 90411977	102-015K			
23-1309	OPEL		HARARET MUSURU OPEL ASTRA H/J-CORSA D/E-MOKKA-VECTRA C ( 2 PIN OVAL SOKET )		7.3324  55591002 - 1338246 - 1338369	102-044			
23-1309-1	OPEL		HARARET MUSURU OPEL ASTRA J/K-INSIGNIA A/B ( 2 PIN OVAL SOKET )		7.3387 12636534 - 1338258 - 12656493	102-044			
23-1310	OPEL-FIAT	***YEŞİL	HARARET OPEL MUSURU OPEL ASTRA H COMBO CORSA 1.3 DTCİ  & FIAT DOBLO ALBEA EGEA LİNEA 1.3 MTJ ( 2 PIN YESIL )		6338038 - 55188058 - 6338023	102-010			
23-1311	CHEVROLET	***MAVİ	HARARET MUSURU CHEVROLET AVEO-MATIZ-SPARK ( 2 PIN MAVI )		96279857 - 96325864 - 96815490	102-015K			
23-1312	OPEL	***GRİ	HARARET MUSURU OPEL OMEGA B-VECTRA B ( 2 PIN GRI )		90573077 - 1342855 -	102-001			
23-1313	CHEVROLET	***BEYAZ	HARARET MUSURU CHEVROLET CAPTIVA-ANTARA-CRUZE ( 2 PIN BEYAZ )		96440380 - 4803542 -	102-024			
23-1314	CHEVROLET		HARARET MUSURU CHEVROLET AVEO ( 1.4 08-... ) -SPARK ( 1.0-1.2 10-... ) ( 2 PIN )		96476970	102-001			
23-1500	VOLKSWAGEN - SKODA - SEAT - AUDI	***MAVİ	HARARET MUSURU VW BORA-GOLF IV-PASSAT-POLO III-T5- SKODA OCTAVIA- SEAT IBIZA- AUDI A3-A4 ( 4 PIN MAVI )		059919501 - 078919501B -	104-008-2			
23-1501	VOLKSWAGEN	***KABLOLU	HARARET MUSURU VW TRANSPORTER T5 2.5 TDI  KABLOLU		070919501A	102-057			
23-1502	VOLKSWAGEN	***MOR HALKA	HARARET MUSURU VW VOLT LT 28-35 / LT 28-46 ( 4 PIN MOR HALKA )		7.3353  2D0919501B - 062919501A -	104-008-2			
23-1503	VOLKSWAGEN	***YESIL HALKA	HARARET MUSURU VW CADDY II-GOLF III- TRANSPORTER T4-POLO III- VOLT LT 28-35 ( 4 PIN YESIL HALKA )		357919501 - 357919501B - 007072214F	104-008-2			
23-1504	VOLKSWAGEN - SKODA-AUDI	***GRİ	HARARET MUSURU VW-SEAT-SKODA-AUDI YM AUA AUB AVU BFQ BKD BKY MOTOR  ( 2 PIN GRI / SİYAH 140°C )		06A919501 - 06A919501A - 06A919501B	102-055			
23-1505	VOLKSWAGEN	***KIRMIZI	HARARET MUSURU VW GOLF-JETTA-PASSAT-POLO II/III -TRANSPORTER T4 ( 2 PIN KIRMIZI 60°C )		251919369B	102-015K			
23-1506	VOLKSWAGEN	***SARI HALKA	HARARET MUSURU VW GOLF-PASSAT-POLO- TRANSPORTER T4 ( 4 PIN MAVI /SARI )		357919501A - 6U0919501B -	104-008-2			
23-1507	VOLKSWAGEN	***MAVİ GÖVDE -BEYAZ HALKA	HARARET MUSURU VW TRANSPORTER T4-PASSAT ( 4 PIN MAVI GÖVDE -BEYAZ HALKA ) ( 95°C )		7.3535  701919369A - 701919369B - 701919369C -	104-008-2			
23-1508	VOLKSWAGEN - SKODA - SEAT	***YEŞİL	HARARET MUSURU VW BORA-GOLF-PASSAT-POLO-T4- SEAT LEON- SKODA SUPERB ( 4 PIN YESIL )		059919501A - 078919501C -	104-018			
23-1509	VOLKSWAGEN - SEAT	***MAVİ	HARARET MUSURU VW GOLF-JETTA-PASSAT-TRANSPORTER T4- SEAT IBIZA ( 2 PIN MAVI )		7.3101  025906041A - 1669965 - A0025420718	102-015K			
23-1510	VOLKSWAGEN		HARARET MUSURU VW BORA ( 98-05 ) CADDY II ( 95-04 ) ALH-AGR		7.3154  1H0919563 - 95VW-10A998-AA				
23-1511	VOLKSWAGEN		HARARET MÜŞÜRÜ VW GOLF II - JETTA - PASSAT - POLO - TRANSPORTER		251919369				
23-1512	VOLKSWAGEN - SEAT	***SİYAH	HARARET MUSURU VW PASSAT ( 88-91 ) - SEAT TOLEDO ( 91-99 ) ( 4 PIN SIYAH GÖVDE ) ( 62 / 65  °C )		701919369	104-008			
23-1513	VOLKSWAGEN - AUDI	***SİYAH	HARARET MUSURU VW CADDY I-GOLF II-JETTA II  - AUDI A80-A100 ( SIYAH )		7.3073 - 049919501 - 027919501 - 175919501				
23-1514	VOLKSWAGEN - FORD	***KAHVERENGİ	HARARET MUSURU VW BORA-GOLF-T4-POLO-FORD GALAXY-A3 ( KAHVERENGI 112-120°C )		357919369E	104-008-2			
23-1515	VOLKSWAGEN	***MAVİ	HARARET MUSURU VW  PASSAT ( MAVI )		049919563B				
23-1516	VOLKSWAGEN	***SİYAH	HARARET MUSURU VW GOLF-PASSAT ( 2 PIN SIYAH ) ( 110°C )		357919369F	102-015K			
23-1517	SEAT		HARARET MUSURU SEAT MARBELLA		028947000A - 28947000A - 33500	102-015K			
23-1518	VOLKSWAGEN - MERCEDES		HARARET MUSURU VW VOLT LT28 - LT35 - LT46 ( 97-03 ) - MERCEDES SPRINTER ( 120°C )		2D0919501C - A0055421017 - A0055422317				
23-1519	AUDI		HARARET MUSURU AUDI 80-100-COUPE ( 2 PIN )		0280130053 - 034906161 -	102-015K			
23-1520	VOLKSWAGEN		HARARET MUSURU VW CADDY 1Y POLO CLASSIC GOLF IV AGU MOTOR A3 ( 120°C )		191919369A	102-015K			
23-1521	VOLKSWAGEN		HARARET MUSURU VW GOLF III-T4-PASSAT III-POLO II/III-JETTA II ( 2 PIN )		251919501D - 251919501A -	102-015K			
23-1524	AUDI		HARARET MÜŞÜRÜ AUDI A4 1.6-1.9 TDI 94-00		058919501A	104-008-2			
23-1526	VOLKSWAGEN - SKODA - AUDI		HARARET MUSURU VW POLO-PASSAT-SKODA FABIA-AUDI A1 2.0 TDI		03N919501	102-059			
23-1527	VOLKSWAGEN - AUDI		HARARET MUSURU VW GOLF VII-JETTA VI-AUDI A1-A3 ( 1.2 / 1.4 TFSI - TSI ) ( 2 PIN )		03F919501A - 03F919501B - 03F919501	102-055			
23-1528	VOLKSWAGEN - SKODA - AUDI		HARARET MUSURU VW AMAROK-GOLF VII-JETTA- PASSAT-POLO V-AUDI A4-A5-A6-SKODA SUPER B III ( 2 PIN )		06K919525 - 079919523 - 079919523B	102-045-3			
23-1529	VOLKSWAGEN - AUDI	***MAZOT SICAKLIK	YAKIT SICAKLIK SENSORU AUDI A3 II-A4 IV- VW CRAFTER 30 35 BLS  ( 2 PIN MAZOT SICAKLIK )		038906081A - 038906081B -	102-055			
23-1530	VOLKSWAGEN - SKODA - AUDI-SEAT	***SİYAH	HARARET MUSURU VW GOLF VII-CADDY- SKODA SUPERB- SEAT LEON II/III- AUDİ A1-A3-Q2 ( 2 PIN SIYAH )		04E919501B - 04L919501 -	102-055			
23-1531	VOLKSWAGEN	***YAKIT SICAKLIK	HARARET MUSURU VW AMAROK-CADDYIII-CRAFTER 30 50 -GOLF VII-T5 ( 2 PIN YAKIT SICAKLIK )		03L919824C - 04L919824 - 059919523A	102-045-3			
23-1532	VOLKSWAGEN-AUDI	***GRİ	HARARET MUSURU AUDI 100 ( 90-94 ) -80 ( 86-91 ) -A6 ( 94-97 ) ( 3 PIN GRI 125°C )		053919501A				
23-1533	VOLKSWAGEN	***SİYAH GÖVDE MAVİ HALKA	HARARET MUSURU VW GOLF III-PASSAT 2.8-T4 ( 4 PIN 100°C SİYAH GÖVDE MAVI HALKA )		7.536 - 701919369D	104-008-2			
23-1534	VOLKSWAGEN - SEAT - FORD	***BEYAZ GÖVDE YEŞİL HALKA	HARARET MÜŞÜRÜ VW LT35 - TRANSPORTER T5 - SEAT - FORD BEYAZ / YEŞİL HALKA		701919369E	104-008-2			
23-1600	MINI - CHRYSLER - JEEP		HARARET MÜŞÜRÜ MINI COOPER R50-R53-R56-R57-CHRYSLER-CHEROKE		13621486698 - 5269870AB				
23-1601	BMW		HARARET MUSURU BMW 1-BMW 2-BMW 3-BMW 4-BMW-BMW 5-BMW 6-BMW 7 ( 2 PIN )		7.3272 - 13620150974 - 13621433076 - 23017838935	102-015K			
23-1602	BMW	***SİYAH	HARARET MUSURU BMW 3 ( E36 ) -BMW 5 ( E34 ) -BMW 7 ( E32-E38 ) -BMW 8 ( E31 ) SİYAH ( 2 PIN )		7.3176  12621710535 - 12621747281 -	102-015K			
23-1603	BMW - SKODA		HARARET MUSURU BMW E21 ( 77-84 ) -E30 ( 82-90 ) -E12 ( 74-81 ) -E28 ( 81-87 )		62110788115 - 113982410 - 6U0919501A				
23-1604	BMW	***YUVARLAK SOKET	HARARET MUSURU BMW E39-E36-M52-M54 ( 4 PIN YUVARLAK 150°C.-40°C )		13621703993 - 1703993 -				
23-1605	BMW		HARARET MUSURU BMW F20-E46-E60-E64-E65-E71-E85-RANGE III- M SERI-N SERI ( 2 PIN )		13621433077 - 13627788077 -	102-015K			
23-1606	BMW - MINI - TOYOTA		HARARET MUSURU BMW 316D-320D-520D-X1-X3-X5-X6 - MINI COUPE - TOYOTA AURIS - AVENSIS - RAV4( 2 PIN )		13627797957 - 7797957 - 89422-WA010	102-045-3			
23-1607	BMW	***SİYAH	HARARET MUSURU BMW 520D-525-X3 20D-X5 25D-X5 30D-X6 30D-X6 40D ( 2 PIN SIYAH )		13627823993 - 7823477 - 7823993	102-045-3			
23-1700	MERCEDES		HARARET MUSURU MERCEDES ( 100-120°C )		0045425617 - 0025427317 - 0075420917				
23-1701	MERCEDES		HARARET MUSURU MERCEDES W123-W124-W210-S210-W461-W463 ( 100° C - 95° C )		0065451524 - 0065454024 - 0065451524	102-044			
23-1702	MERCEDES		HARARET MUSURU MERCEDES A/B/C/E-AMG-SPRINTER-VITO		A0999053700 - A0009050600 - A0041539728	102-044			
23-1703	MERCEDES		HARARET MUSURU MERCEDES C/E/S W124 ( 4 PIN )		A0085423217				
23-1704	MERCEDES	***MAVİ	HARARET MUSURU MERCEDES C/E/S W124		A0085424517				
23-1705	MERCEDES		HARARET MUSURU MERCEDES C ( W202 ) / E ( 124 ) / W124 - SPRINTER ( 4 PIN )		A0115425117				
23-1706	MERCEDES - VOLKSWAGEN	***YEŞİL	HARARET MUSURU MERCEDES VITO-SPRINTER - LT28-35 / LT28-46 ( 2 PIN YESIL )		0085425617 - 062919501 -				
23-1707	MERCEDES		HARARET MUSURU MERCEDES CLASS B 180-CLASS C IIII-CLASS E III/IV VITO II ( 2 PIN )		A0009050800 - A0051538328 -	102-045-4			
23-1708	MERCEDES		HARARET MÜŞÜRÜ MERCEDES  A SERISI (W169) A180 CDI 2004-2012 / C SERISI (W202)		A0005425118 - A0009050700 - A0999053800	102-044			
23-1800	FORD	***YEŞİL	HARARET MUSURU FORD ESCORT-FIESTA-TRANSIT ( YESIL )		89FB-10884-AA - 1657685 -				
23-1801	FORD	***YEŞİL	HARARET MUSURU FORD FIESTA ( 95-02 ) - TRANSIT ( 88-00 ) ( 2 PIN )		92VB-10884-AA - 96FB-10884-AA - 1008790	102-015K			
23-1804	FORD	***SİYAH	HARARET MUSURU FORD ESCORT-FIESTA-MONDEO-TOURNEO-CONNECT ( 2 PIN )		97FB-10884-AA - 91AB-10884-AA - 6193368	102-015K			
23-1805	FORD	***GRİ	HARARET MUSURU FORD C-MAX-ESCORT-FIESTA-FOCUS-GALAXY-MONDEO-TRANSIT ( 2 PIN GRI )		1.830.363 3F1A-12A648-AA - 3F1A-12A648-AB - GY01-18-840A	102-081			
23-1806	FORD	***SİYAH	HARARET ISI MÜŞÜRÜ FORD FOCUS I (98-05) (2 PİN SİYAH)		7.3294 - F65F-6G004-AB - 8L3A-6G004-AA	102-081-6			
23-1807	FORD	***SİYAH	HARARET MUSURU ESCORT-FIESTA-TRANSIT ( FISLI SIYAH )		82GB-10884-BA - 6108298 -				
23-1810	FORD - FREELANDER - LAND ROVER		HARARET MUSURU FORD B-MAX / C-MAX-FIESTA-MONDEO-FOCUS - FREELANDER-RANGE ROVER		7M51-12A648-AA - 7C11-12A648-AA - XS6Z-12A648-CA	102-081			
23-1811	FORD-MAZDA		HARARET MÜŞÜRÜ FORD MAZDA		1.830.234 8E5A-12A648-AA - XU3F-12A648-AA - 1.830.234	102-081			
23-1812	FORD		HARARET MÜŞÜRÜ FORD ESCORT FIESTA MONDEO		PRM.300092 F2AZ-12A648-AA - F6DZ-19E702-A - ZZL0-18-707				
23-1813	FORD	***KABLOLU	HARARET MÜŞÜRÜ FORD TRANSIT MONDEO FOCUS  ***KABLOLU		33681 9C11-6G004-DC 1338.F0 988F-6G004-DA 9C11-6G004-DA				
23-1814	FORD	***KABLOLU	HARARET MÜŞÜRÜ FORD FOCUS-TRANSİT-CONNECT  ***KABLOLU		9C11-6G004-BB - 9C11-6G004-BA				
23-1815	FORD		HARARET MÜŞÜRÜ FORD KA 1.3 ( 1996-2008 )		XS6E-12A648-BA - 1089854	102-081			
23-1900	HONDA		HARARET MUSURU HONDA LEGEND II ( 91-96 ) ( 2 PIN )		37760-PH7-003 32590 7.3166	102-100-1			
23-1901	HONDA	***SİYAH	HARARET MUSURU HONDA ACCORD IV/V/VI - CIVIC IV/V/VI - CR-V -HR-V - CRX ( 2 PIN SIYAH )		37870-PJ7-003 - 37870-PK2-005 - 48160-P6K-004	102-100-1			
23-1901-1	HONDA	***BEYAZ	HARARET MUSURU HONDA ACCORD IV/V/VI - CIVIC IV/V/VI - CR-V -HR-V - CRX ( 2 PIN BEYAZ )		EXP 37870-PJ7-003 - 37870-PK2-005 - 48160-P6K-004	102-100-1			
23-1902	HONDA		HARARET MÜŞÜRÜ HONDA ACCORD VII-CIVIC VII- CR-V - JAZZ-LEGENT IV		37870-PLC-004  37870-PNA-003  37870-RAA-A01	102-099-3			
23-2000	NISSAN		HARARET MUSURU NISSAN TERRANO II ( 93-07 )		25080-G4900 - 25080-G9800 -				
23-2002	NISSAN		HARARET MUSURU NISSAN ALMERA-MAXIMA-PARTFINDER-NAVARA-PRIMERA-X TRAIL		25080-89907				
23-2003	NISSAN - RENAULT - DACIA	***SİYAH	HARARET MUSURU NISSAN - RENAULT - DACIA - INFINITI ( 2 PIN SİYAH SOKET )		22630-99B00 - 22630-0M200 -	102-083			
23-2004	NISSAN - SKODA	***YEŞİL	HARARET MUSURU NISSAN PRIMERA ( 91-96 ) -SUNNY ( 86-91 ) - SKODA FAVORIT ( 2 PIN YEŞİL )		11023-V0700 - 22630-10G00 - 22630-N4200	102-015K			
23-2100	TOYOTA		HARARET MÜŞÜRÜ TOYOTA COROLLA 1.6i - HILUX 2.4 D		83420-01010 - 83420-16010 - 83420-20010				
23-2101	TOYOTA		HARARET MUSURU TOYOTA COROLLA VII/VIII-LAND CRUISER-RAV 4		83420-20040 - 83420-AA010 - 83420-16050				
23-2102	TOYOTA		HARARET MUSURU TOYOTA COROLLA VI ( 87-92 ) ( 80-85° C )		89428-10100 - 89428-10110 -				
23-2103	TOYOTA		HARARET MÜŞÜRÜ TOYOTA LAND CRUISER-HILUX PICK UP		83420-16040 - 83420-20030				
